SKU,Name1,Name2,Name3,Name4
ST20231113_101107_ BEAUTIFUL ,,BEAUTIFUL ,MINDS INSPIRE ,OTHERS 
ST20231113_101108_THIS  TOO ,THIS ,TOO ,SHALL ,PASS. 
ST20231113_101109_NOBODY  MAKES ME ,NOBODY ,MAKES ME ,BLEED MY ,OWN BLOOD 
ST20231113_101110_ THEREÂ€™S ALWAYS ,,THEREÂ€™S ALWAYS ,ANOTHER ,SECRET! 
ST20231113_101111_SPEED  HOLES ,SPEED ,HOLES ,MAKE IT GO ,FASTER 
ST20231113_101112_YOUVE  GOT A ,YOU'VE ,GOT A ,FRIEND ,IN ME 
ST20231113_101113_WERE  ALL ,WE'RE ,ALL ,STORIES IN ,THE END 
ST20231113_101114_NOBODY  IS ,NOBODY ,IS ,COMING TO ,SAVE YOU 
ST20231113_101117_CHARACTER  CANNOT BE ,CHARACTER ,CANNOT BE ,DEVELOPED IN EASE ,AND QUIET. 
