0,1,2,Dup
https://twitter.com/SharylAttkisson/status/1723396870205002034,13000.0,0.0,0
https://twitter.com/DrEricDing/status/1723332650104938911,157000.0,1.0,0
https://twitter.com/MdBreathe/status/1723555209463435356,0.0,1.0,0
https://twitter.com/VernonForGA/status/1723307918177501666,21000.0,1.0,0
https://twitter.com/weirddalle/status/1723291139950698866,7000000.0,,0
https://twitter.com/Enezator/status/1723268374556205474,7000000.0,,0
https://twitter.com/nypost/status/1723354120478769316,7000000.0,,0
https://twitter.com/TheFigen_/status/1723364218487881926,9000000.0,,0
https://twitter.com/WholeMarsBlog/status/1723478253460148582,12000.0,3.0,0
https://twitter.com/EvanCastella/status/1723478390681084199,0.0,3.0,0
https://twitter.com/91Abiding/status/1723396565954654486,0.0,4.0,0
https://twitter.com/CONEY/status/1723492559454892189,547000.0,4.0,0
https://twitter.com/TheLeoTerrell/status/1723413810663624912,39000.0,1.0,0
https://twitter.com/Yoda4ever/status/1723303800193343767,5000000.0,,0
https://twitter.com/julie_kelly2/status/1723063792928526494,6000000.0,,0
https://twitter.com/Dexerto/status/1723309490219487660,6000000.0,,0
https://twitter.com/AmiriKing/status/1723248330707214765,6000000.0,,0
https://twitter.com/PeterSweden7/status/1723303659914584215,7000000.0,,0
https://twitter.com/weirddalle/status/1723292898614005955,9000000.0,,0
https://twitter.com/gunsnrosesgirl3/status/1723373268806054129,7000000.0,,0
https://twitter.com/NASA/status/1723260977993404575,11000000.0,,0
https://twitter.com/AJamesMcCarthy/status/1723439936827994380,130000.0,1.0,0
https://twitter.com/nypost/status/1723513954285080745,23000.0,1.0,0
https://twitter.com/nypost/status/1723380015159562420,24000.0,1.0,0
https://twitter.com/alicia_c_devine/status/1723505643448082857,108000.0,1.0,0
https://twitter.com/EJagiellonians/status/1723279404611334277,1000.0,1.0,0
https://twitter.com/MagaDianna/status/1723358607159251299,1000.0,1.0,0
https://twitter.com/nypost/status/1723497294069198947,23000.0,1.0,0
https://twitter.com/teslaownersSV/status/1723428106885874123,13000.0,1.0,0
https://twitter.com/TheChiefNerd/status/1723372430251499573,213000.0,2.0,0
https://twitter.com/DiscussingFilm/status/1723372318724956417,12000000.0,,0
